t_h,T_cama_C,T_aire_C,CO2_ppm,CH4_ppm,T_cama_sensor,T_aire_sensor,CO2_sensor_ppm,CH4_sensor_ppm
2.020000000000000000e+02,3.184797877462833782e+01,2.801659115958524637e+01,1.685699297694580309e+04,1.999999998865377826e+00,3.187515424669886244e+01,2.785927800456441261e+01,1.685076298991409203e+04,1.928644600768823159e+00
2.030000000000000000e+02,3.191963147709704174e+01,2.804815727417527427e+01,1.697522450131849109e+04,1.999999998141792412e+00,3.211281311508010106e+01,2.771086364392845525e+01,1.686269540651216448e+04,1.734829164896243281e+00
2.040000000000000000e+02,3.199073857350292727e+01,2.807948305722559112e+01,1.709214024809795228e+04,1.999999997517939221e+00,3.137568694319362095e+01,2.791423716395280152e+01,1.703911011552719719e+04,1.862199070004167734e+00
2.050000000000000000e+02,3.206128883219497538e+01,2.811056355812709384e+01,1.720773589754398927e+04,1.999999997059981327e+00,3.204667331161594035e+01,2.816009673834888360e+01,1.719329045589189627e+04,1.818938129328104614e+00
2.060000000000000000e+02,3.213127199083825758e+01,2.814139425142416329e+01,1.732200440728524700e+04,1.999999997411009645e+00,3.187830290975039560e+01,2.810554892633421176e+01,1.743921886330830603e+04,1.775021619907082293e+00
2.070000000000000000e+02,3.220067965578017066e+01,2.817197143673831761e+01,1.743494671232172186e+04,1.999999998614671259e+00,3.183503573765308303e+01,2.812129592294871472e+01,1.793061332581144961e+04,1.880464101267659283e+00
2.080000000000000000e+02,3.226950430892575383e+01,2.820229180140288605e+01,1.754656378802234394e+04,2.000000000241954901e+00,3.200605859884712601e+01,2.817045482712687487e+01,1.696168159744831792e+04,2.132495568196147051e+00
2.090000000000000000e+02,3.233773923394758043e+01,2.823235239034749000e+01,1.765685823316778988e+04,2.000000000743911155e+00,3.223750220173733538e+01,2.827303003847147878e+01,1.703605814509331321e+04,1.995556383971822889e+00
2.100000000000000000e+02,3.240537969566292986e+01,2.826215111648872025e+01,1.776583548373742087e+04,1.999999999783002469e+00,3.268015045836973087e+01,2.806044390810009759e+01,1.718312113004724961e+04,2.129056376001117190e+00
2.110000000000000000e+02,3.247242086877896838e+01,2.829168584540027709e+01,1.787349817977675048e+04,1.999999998766355036e+00,3.207450305345710007e+01,2.843305577358008662e+01,1.802841672551916054e+04,2.041098256431092217e+00
2.120000000000000000e+02,3.253885926753627444e+01,2.832095503413311732e+01,1.797985135157254990e+04,1.999999998762192588e+00,3.254804871531460009e+01,2.845348822821021528e+01,1.865137041583033715e+04,2.078255881285275386e+00
2.130000000000000000e+02,3.260469346599451512e+01,2.834995805513715439e+01,1.808490541471485994e+04,1.999999998945020119e+00,3.245944263599444213e+01,2.842696564266837456e+01,1.785088342644892691e+04,1.909910299462084016e+00
2.140000000000000000e+02,3.266992276702181641e+01,2.837869459768869262e+01,1.818867063554410561e+04,1.999999999468754064e+00,3.257162083871322977e+01,2.849000128623894668e+01,1.682359280071174726e+04,2.052395094874103432e+00
2.150000000000000000e+02,3.273454413670846463e+01,2.840716333302160379e+01,1.829115116405390290e+04,1.999999999795538885e+00,3.303537148429984427e+01,2.846644693318333452e+01,1.735611143307964448e+04,2.072871423195523644e+00
2.160000000000000000e+02,3.279855851257998012e+01,2.843536467242826760e+01,1.839235905917427226e+04,1.999999999999571454e+00,3.295999314368116018e+01,2.884237933297448109e+01,1.793271374372001083e+04,1.942335270776214706e+00
2.170000000000000000e+02,3.286196760774086556e+01,2.846329936995509158e+01,1.849230718330628588e+04,2.000000000106564091e+00,3.326318703997368686e+01,2.844588053574458897e+01,1.818289636592932948e+04,2.055954037171161985e+00
2.180000000000000000e+02,3.292477342035212473e+01,2.849096830612415587e+01,1.859100834711655261e+04,2.000000000072541972e+00,3.287842171657715795e+01,2.842955166245723930e+01,1.836323765577175072e+04,2.056618775932078869e+00
2.190000000000000000e+02,3.298697490424181211e+01,2.851837100949960302e+01,1.868847086469636270e+04,2.000000000103208997e+00,3.277819212074059863e+01,2.836766549342812738e+01,1.871010153047904896e+04,1.945044737987364769e+00
2.200000000000000000e+02,3.304857651558034348e+01,2.854550944594329920e+01,1.878471073629712191e+04,2.000000000097341690e+00,3.298141887051619392e+01,2.833905691182773268e+01,1.860902879686907181e+04,1.887723156864777652e+00
2.210000000000000000e+02,3.310958183363830898e+01,2.857238519031271906e+01,1.887974255513131720e+04,2.000000000062239547e+00,3.318233087101967271e+01,2.832349083279250479e+01,1.947408040613015692e+04,1.881587166868727179e+00
2.220000000000000000e+02,3.316999420993877834e+01,2.859899971840994581e+01,1.897358031374335405e+04,2.000000000010156320e+00,3.322296621747489098e+01,2.842124025576376312e+01,1.858878625445858052e+04,2.008650554202346505e+00
2.230000000000000000e+02,3.322981578628537136e+01,2.862535397582421481e+01,1.906623588332766667e+04,1.999999999959935382e+00,3.290449936461536140e+01,2.861121789949380201e+01,1.857300115467395153e+04,2.032700986838211765e+00
2.240000000000000000e+02,3.328905230651952962e+01,2.865145049064474492e+01,1.915772646521627757e+04,1.999999999929001016e+00,3.331619924100789376e+01,2.871830951634428786e+01,1.943295146255202417e+04,1.920747416886023018e+00
2.250000000000000000e+02,3.334770893422074067e+01,2.867729153712573975e+01,1.924806811416916753e+04,1.999999999940320405e+00,3.341617743326241197e+01,2.868751994883617229e+01,1.836132381934151636e+04,2.002658534072851104e+00
2.260000000000000000e+02,3.340578978981753977e+01,2.870287892963608556e+01,1.933727413665625136e+04,1.999999999964623631e+00,3.416103200107771443e+01,2.854977187415014228e+01,1.956334139669287106e+04,2.057053703577463200e+00
2.270000000000000000e+02,3.346329942358232756e+01,2.872821467199983303e+01,1.942535818748614838e+04,1.999999999971915354e+00,3.402635280696682685e+01,2.890825158480382484e+01,1.948512215730064054e+04,2.061819071437577033e+00
2.280000000000000000e+02,3.352024431104576507e+01,2.875330161671984186e+01,1.951233741356710379e+04,1.999999999983764098e+00,3.326427130587811831e+01,2.890118415118003270e+01,1.942602898519571318e+04,2.155188011994753072e+00
2.290000000000000000e+02,3.357663061305364494e+01,2.877814247754345445e+01,1.959822774494762780e+04,1.999999999994976463e+00,3.349041560458888966e+01,2.874621281605904954e+01,2.053204965104072835e+04,2.127698083214460301e+00
2.300000000000000000e+02,3.363246293617491034e+01,2.880273928321658872e+01,1.968304292172493297e+04,2.000000000011895818e+00,3.319343033562380896e+01,2.867215605428364711e+01,1.931563484616635105e+04,1.899870856735645930e+00
2.310000000000000000e+02,3.368774762971256820e+01,2.882709483056068578e+01,1.976679866013619903e+04,2.000000000029435121e+00,3.351053552552352244e+01,2.893678041472664475e+01,2.098856363363409400e+04,2.168358620985715302e+00
2.320000000000000000e+02,3.374249121738119328e+01,2.885121199326954766e+01,1.984951064403253258e+04,2.000000000040660808e+00,3.383717271845829799e+01,2.888880671076676876e+01,1.971526952550394708e+04,1.946902349584009650e+00
2.330000000000000000e+02,3.379670003527994027e+01,2.887509356235046099e+01,1.993119403219749802e+04,2.000000000037553072e+00,3.415845612154640776e+01,2.858546811046745262e+01,1.916762015578723731e+04,2.104487281284957767e+00
2.340000000000000000e+02,3.385038063858176827e+01,2.889874242535273652e+01,2.001186525222095588e+04,2.000000000031116443e+00,3.363165548725868348e+01,2.888514637415585540e+01,2.005384188922176327e+04,2.006798662636330999e+00
2.350000000000000000e+02,3.390353965717992679e+01,2.892216150274512643e+01,2.009154128180528642e+04,2.000000000041206150e+00,3.370729572515958949e+01,2.897456866516000318e+01,1.944283853565880781e+04,1.958785062194660309e+00
2.360000000000000000e+02,3.395618333395909616e+01,2.894535354442590958e+01,2.017023651768124910e+04,2.000000000050808691e+00,3.331199662503750147e+01,2.876541458712835819e+01,1.971534372006279955e+04,1.819230314068723153e+00
2.370000000000000000e+02,3.400831790926196163e+01,2.896832129915109988e+01,2.024796607650732767e+04,2.000000000055111915e+00,3.395951813309849143e+01,2.900628997771858764e+01,2.048913958020605060e+04,1.982843549033004305e+00
2.380000000000000000e+02,3.405994970628403706e+01,2.899106755230244659e+01,2.032474469463141941e+04,2.000000000050170534e+00,3.374122538272617078e+01,2.870010305525088867e+01,2.066350661789313745e+04,1.844061676515697856e+00
2.390000000000000000e+02,3.411108686493874131e+01,2.901359589089920377e+01,2.040058660825054903e+04,2.000000000060220273e+00,3.395225503672892131e+01,2.928083311090163932e+01,2.001980902663375673e+04,2.096729923647409954e+00
2.400000000000000000e+02,3.416173486513116586e+01,2.903590872847522419e+01,2.047550556601598873e+04,2.000000000067758243e+00,3.389867663168089251e+01,2.928549872548710908e+01,2.108203415231530016e+04,2.151679265786821560e+00
2.410000000000000000e+02,3.421189994086795139e+01,2.905800881142058145e+01,2.054951467336056157e+04,2.000000000067164940e+00,3.418362117459218297e+01,2.900750534455998775e+01,2.126310135310007900e+04,1.920308901134819557e+00
